アイドル名,名前,属性,属性カラー,イメージカラー
相川千夏,千夏,クール,#006aff,#7a508f
愛野渚,渚,パッション,#f49207,#ffcb49
相葉夕美,夕美,パッション,#f49207,#f0e991
相原雪乃,雪乃,キュート,#ef2782,#d06447
赤城みりあ,みりあ,パッション,#f49207,#ffcd00
赤西瑛梨華,瑛梨華,キュート,#ef2782,#eb306d
浅野風香,風香,キュート,#ef2782,#618d75
浅利七海,七海,クール,#006aff,#009cbd
アナスタシア,アナスタシア,クール,#006aff,#b1c9e8
安部菜々,菜々,キュート,#ef2782,#ef4a81
綾瀬穂乃香,穂乃香,クール,#006aff,#f5d6ff
荒木比奈,比奈,クール,#006aff,#a0d884
有浦柑奈,柑奈,キュート,#ef2782,#ec4b6e
安斎都,都,キュート,#ef2782,#fa9063
五十嵐響子,響子,キュート,#ef2782,#fabbcb
池袋晶葉,晶葉,キュート,#ef2782,#de2f4d
伊集院惠,惠,クール,#006aff,#521078
一ノ瀬志希,志希,キュート,#ef2782,#a50050
市原仁奈,仁奈,パッション,#f49207,#f8e08e
イヴ・サンタクロース,イヴ,パッション,#f49207,#e5e1e6
今井加奈,加奈,キュート,#ef2782,#ff3de5
井村雪菜,雪菜,キュート,#ef2782,#ed3767
上田鈴帆,鈴帆,パッション,#f49207,#cc8a00
氏家むつみ,むつみ,クール,#006aff,#375637
梅木音葉,音葉,クール,#006aff,#75bbae
江上椿,椿,キュート,#ef2782,#e95b64
衛藤美紗希,美紗希,パッション,#f49207,#fe85c7
海老原菜帆,菜帆,パッション,#f49207,#819832
及川雫,雫,パッション,#f49207,#ffffff
大石泉,泉,クール,#006aff,#74d1ea
太田優,優,キュート,#ef2782,#f851a7
大槻唯,唯,パッション,#f49207,#f6be00
大西由里子,由里子,キュート,#ef2782,#c90f74
大沼くるみ,くるみ,キュート,#ef2782,#ffc1bd
大原みちる,みちる,キュート,#ef2782,#d8843e
岡崎泰葉,泰葉,クール,#006aff,#ade5f6
緒方智絵里,智絵里,キュート,#ef2782,#6cc24a
奥山沙織,沙織,キュート,#ef2782,#e87487
乙倉悠貴,悠貴,キュート,#ef2782,#e4bec3
片桐早苗,早苗,パッション,#f49207,#fc4c02
上条春菜,春菜,クール,#006aff,#5bc2e7
神谷奈緒,奈緒,クール,#006aff,#9678d3
川島瑞樹,瑞樹,クール,#006aff,#485cc7
神崎蘭子,蘭子,クール,#006aff,#84329b
岸部彩華,彩華,クール,#006aff,#f14fee
北川真尋,真尋,パッション,#f49207,#4fd962
喜多日菜子,日菜子,パッション,#f49207,#fcd757
喜多見柚,柚,パッション,#f49207,#f8f283
木場真奈美,真奈美,クール,#006aff,#8d8696
木村夏樹,夏樹,パッション,#f49207,#53565a
キャシー・グラハム,キャシー,パッション,#f49207,#ffdc00
桐野アヤ,アヤ,クール,#006aff,#c3396c
桐生つかさ,つかさ,クール,#006aff,#ab4ec6
日下部若葉,若葉,キュート,#ef2782,#c4d673
工藤忍,忍,キュート,#ef2782,#eb3249
クラリス,クラリス,キュート,#ef2782,#ffda7b
栗原ネネ,ネネ,キュート,#ef2782,#0f7bf8
黒川千秋,千秋,クール,#006aff,#bc1212
黒埼ちとせ,ちとせ,キュート,#ef2782,#ef3340
ケイト,ケイト,クール,#006aff,#cf142b
古賀小春,小春,キュート,#ef2782,#c2e189
輿水幸子,幸子,キュート,#ef2782,#c1a0da
小関麗奈,麗奈,パッション,#f49207,#9b26b6
小早川紗枝,紗枝,キュート,#ef2782,#e56db1
小日向美穂,美穂,キュート,#ef2782,#db3eb1
小松伊吹,伊吹,パッション,#f49207,#fffb4e
小室千奈美,千奈美,クール,#006aff,#acc0e6
西園寺琴歌,琴歌,キュート,#ef2782,#e8cdd0
財前時子,時子,パッション,#f49207,#7d0837
斉藤洋子,洋子,パッション,#f49207,#cbfc9f
冴島清美,清美,パッション,#f49207,#f6bd30
榊原里美,里美,キュート,#ef2782,#fec520
鷺沢文香,文香,クール,#006aff,#606eb2
佐久間まゆ,まゆ,キュート,#ef2782,#da1884
櫻井桃華,桃華,キュート,#ef2782,#ef95cf
佐々木千枝,千枝,クール,#006aff,#0072ce
佐城雪美,雪美,クール,#006aff,#171c8f
佐藤心,心,パッション,#f49207,#f04e98
沢田麻理菜,麻理菜,パッション,#f49207,#fca538
椎名法子,法子,キュート,#ef2782,#f8485e
塩見周子,周子,クール,#006aff,#dce6ed
篠原礼,礼,クール,#006aff,#bb68fe
渋谷凛,凛,クール,#006aff,#009cde
島村卯月,卯月,キュート,#ef2782,#f67599
首藤葵,葵,パッション,#f49207,#fbe983
城ヶ崎美嘉,美嘉,パッション,#f49207,#fe9d1a
城ヶ崎莉嘉,莉嘉,パッション,#f49207,#fedd00
白菊ほたる,ほたる,キュート,#ef2782,#c964cf
白坂小梅,小梅,クール,#006aff,#abcae9
白雪千夜,千夜,キュート,#ef2782,#efd7e5
杉坂海,海,パッション,#f49207,#d83c6a
涼宮星花,星花,キュート,#ef2782,#f994c4
砂塚あきら,あきら,クール,#006aff,#7e93a7
関裕美,裕美,キュート,#ef2782,#ffb3ab
瀬名詩織,詩織,クール,#006aff,#52c6c3
仙崎恵磨,恵磨,パッション,#f49207,#d30d85
相馬夏美,夏美,パッション,#f49207,#fcc138
高垣楓,楓,クール,#006aff,#47d7ac
高橋礼子,礼子,クール,#006aff,#781000
鷹富士茄子,茄子,クール,#006aff,#5c068c
高峯のあ,のあ,クール,#006aff,#9fe1fd
高森藍子,藍子,パッション,#f49207,#cdea80
多田李衣菜,李衣菜,クール,#006aff,#0077c8
橘ありす,ありす,クール,#006aff,#5c88da
月宮雅,雅,キュート,#ef2782,#ffd9db
辻野あかり,あかり,キュート,#ef2782,#e10600
土屋亜子,亜子,パッション,#f49207,#ffbe60
