カード名,分類,フル画像,背景透過画像,ぷちでれら
佐藤心,モバマス,https://nagomi-sugarheart.github.io/SugarHeartDB/Mobamas/SatoShin/SatoShin.jpg,https://nagomi-sugarheart.github.io/SugarHeartDB/Mobamas/SatoShin/SatoShinTouka.png,
佐藤心+,モバマス,https://nagomi-sugarheart.github.io/SugarHeartDB/Mobamas/SatoShin+/SatoShin+.jpg,https://nagomi-sugarheart.github.io/SugarHeartDB/Mobamas/SatoShin+/SatoShin+Touka.png,
[T.B.ｽｳｨｰﾃｨｰ]佐藤心,モバマス,https://nagomi-sugarheart.github.io/SugarHeartDB/Mobamas/TBSweetie/TBSweetie.jpg,,
[T.B.ｽｳｨｰﾃｨｰ]佐藤心+,モバマス,https://nagomi-sugarheart.github.io/SugarHeartDB/Mobamas/TBSweetie+/TBSweetie+.jpg,,
[ﾈｸｽﾄｽﾀｰI.C]佐藤心+,モバマス,https://nagomi-sugarheart.github.io/SugarHeartDB/Mobamas/NextStarIC+/NextStarIC+.jpg,https://nagomi-sugarheart.github.io/SugarHeartDB/Mobamas/NextStarIC+/NextStarIC+Touka.png,
[ﾊｰﾄ･ﾓﾃﾞﾙ]佐藤心,モバマス,https://nagomi-sugarheart.github.io/SugarHeartDB/Mobamas/HeartModel/HeartModelWakuNashi.jpg,https://nagomi-sugarheart.github.io/SugarHeartDB/Mobamas/HeartModel/HeartModelTouka.png,
[ﾊｰﾄ･ﾓﾃﾞﾙ]佐藤心+,モバマス,https://nagomi-sugarheart.github.io/SugarHeartDB/Mobamas/HeartModel+/HeartModel+WakuNashi.jpg,https://nagomi-sugarheart.github.io/SugarHeartDB/Mobamas/HeartModel+/HeartModel+Touka.png,
[ﾊｰﾄ･ﾓﾃﾞﾙ･S]佐藤心,モバマス,https://nagomi-sugarheart.github.io/SugarHeartDB/Mobamas/HeartModel/HeartModelSWakuNashi.jpg,https://nagomi-sugarheart.github.io/SugarHeartDB/Mobamas/HeartModel/HeartModelSTouka.png,
[ﾊｰﾄ･ﾓﾃﾞﾙ･S]佐藤心+,モバマス,https://nagomi-sugarheart.github.io/SugarHeartDB/Mobamas/HeartModel+/HeartModelS+WakuNashi.jpg,https://nagomi-sugarheart.github.io/SugarHeartDB/Mobamas/HeartModel+/HeartModelS+Touka.png,
[えんじぇるはぁと]佐藤心,モバマス,https://nagomi-sugarheart.github.io/SugarHeartDB/Mobamas/AngelHeart/AngelHeartWakuNashi.jpg,,
[えんじぇるはぁと]佐藤心+,モバマス,https://nagomi-sugarheart.github.io/SugarHeartDB/Mobamas/AngelHeart+/AngelHeart+WakuNashi.jpg,https://nagomi-sugarheart.github.io/SugarHeartDB/Mobamas/AngelHeart+/AngelHeart+Touka.png,
[はぁとの嫁入り]佐藤心,モバマス,https://nagomi-sugarheart.github.io/SugarHeartDB/Mobamas/HeartNoYomeiri/HeartNoYomeiriWakuNashi.jpg,,
[はぁとの嫁入り]佐藤心+,モバマス,https://nagomi-sugarheart.github.io/SugarHeartDB/Mobamas/HeartNoYomeiri+/HeartNoYomeiri+WakuNashi.jpg,,
[ｽｳｨｰﾃｨｰ･ﾛﾜｲﾔﾙ]佐藤心,モバマス,https://nagomi-sugarheart.github.io/SugarHeartDB/Mobamas/SweetieRoyal/SweetieRoyalWakuNashi.jpg,,
[ｽｳｨｰﾃｨｰ･ﾛﾜｲﾔﾙ]佐藤心+,モバマス,https://nagomi-sugarheart.github.io/SugarHeartDB/Mobamas/SweetieRoyal+/SweetieRoyal+WakuNashi.jpg,,
[ﾜｰｷﾝｸﾞ･ｽｳｨｰﾃｨｰ]佐藤心,モバマス,https://nagomi-sugarheart.github.io/SugarHeartDB/Mobamas/WorkingSweetie/WorkingSweetie.jpg,,
[ﾜｰｷﾝｸﾞ･ｽｳｨｰﾃｨｰ]佐藤心+,モバマス,https://nagomi-sugarheart.github.io/SugarHeartDB/Mobamas/WorkingSweetie+/WorkingSweetie+.jpg,,
[常夏ﾊﾟﾗﾀﾞｲｽ]佐藤心,モバマス,https://nagomi-sugarheart.github.io/SugarHeartDB/Mobamas/TokonatsuParadise/TokonatsuParadiseWakuNashi.jpg,,
[常夏ﾊﾟﾗﾀﾞｲｽ]佐藤心+,モバマス,https://nagomi-sugarheart.github.io/SugarHeartDB/Mobamas/TokonatsuParadise+/TokonatsuParadise+WakuNashi.jpg,,
[ﾁｸｯとｽｳｨｰﾃｨｰ]佐藤心,モバマス,https://nagomi-sugarheart.github.io/SugarHeartDB/Mobamas/ChikuttoSweetie/ChikuttoSweetie.jpg,,
[ﾁｸｯとｽｳｨｰﾃｨｰ]佐藤心+,モバマス,https://nagomi-sugarheart.github.io/SugarHeartDB/Mobamas/ChikuttoSweetie+/ChikuttoSweetie+.jpg,https://nagomi-sugarheart.github.io/SugarHeartDB/Mobamas/ChikuttoSweetie+/ChikuttoSweetie+Touka.png,
[6thｱﾆﾊﾞｰｻﾘｰ]佐藤心,モバマス,https://nagomi-sugarheart.github.io/SugarHeartDB/Mobamas/6thAnniversary/6thAnniversaryWakuNashi.jpg,,
[6thｱﾆﾊﾞｰｻﾘｰ]佐藤心+,モバマス,https://nagomi-sugarheart.github.io/SugarHeartDB/Mobamas/6thAnniversary+/6thAnniversary+WakuNashi.jpg,,
[6thｱﾆﾊﾞｰｻﾘｰ･S]佐藤心,モバマス,https://nagomi-sugarheart.github.io/SugarHeartDB/Mobamas/6thAnniversary/6thAnniversarySWakuNashi.jpg,,
[6thｱﾆﾊﾞｰｻﾘｰ･S]佐藤心+,モバマス,https://nagomi-sugarheart.github.io/SugarHeartDB/Mobamas/6thAnniversary+/6thAnniversaryS+WakuNashi.jpg,,
[ふぉーりんはぁと]佐藤心,モバマス,https://nagomi-sugarheart.github.io/SugarHeartDB/Mobamas/FallingHeart/FallingHeartWakuNashi.jpg,https://nagomi-sugarheart.github.io/SugarHeartDB/Mobamas/FallingHeart/FallingHeartTouka.png,
[ふぉーりんはぁと]佐藤心+,モバマス,https://nagomi-sugarheart.github.io/SugarHeartDB/Mobamas/FallingHeart+/FallingHeart+WakuNashi.jpg,https://nagomi-sugarheart.github.io/SugarHeartDB/Mobamas/FallingHeart+/FallingHeart+Touka.png,
[新春はぁとふる]佐藤心,モバマス,https://nagomi-sugarheart.github.io/SugarHeartDB/Mobamas/ShinshunHeartful/ShinshunHeartfulWakuNashi.jpg,https://nagomi-sugarheart.github.io/SugarHeartDB/Mobamas/ShinshunHeartful/ShinshunHeartfulTouka.png,
[新春はぁとふる]佐藤心+,モバマス,https://nagomi-sugarheart.github.io/SugarHeartDB/Mobamas/ShinshunHeartful+/ShinshunHeartful+WakuNashi.jpg,https://nagomi-sugarheart.github.io/SugarHeartDB/Mobamas/ShinshunHeartful+/ShinshunHeartful+Touka.png,
[夏色はぁと]佐藤心,モバマス,https://nagomi-sugarheart.github.io/SugarHeartDB/Mobamas/NatsuiroHeart/NatsuiroHeartWakuNashi.jpg,https://nagomi-sugarheart.github.io/SugarHeartDB/Mobamas/NatsuiroHeart/NatsuiroHeartTouka.png,
[夏色はぁと]佐藤心+,モバマス,https://nagomi-sugarheart.github.io/SugarHeartDB/Mobamas/NatsuiroHeart+/NatsuiroHeart+WakuNashi.jpg,https://nagomi-sugarheart.github.io/SugarHeartDB/Mobamas/NatsuiroHeart+/NatsuiroHeart+Touka.png,
[ｽｳｨｰﾃｨｰ･ﾆｭｰｲﾔｰ]佐藤心,モバマス,https://nagomi-sugarheart.github.io/SugarHeartDB/Mobamas/SweetieNewYear/SweetieNewYearWakuNashi.jpg,https://nagomi-sugarheart.github.io/SugarHeartDB/Mobamas/SweetieNewYear/SweetieNewYearTouka.png,
[ｽｳｨｰﾃｨｰ･ﾆｭｰｲﾔｰ]佐藤心+,モバマス,https://nagomi-sugarheart.github.io/SugarHeartDB/Mobamas/SweetieNewYear+/SweetieNewYear+WakuNashi.jpg,https://nagomi-sugarheart.github.io/SugarHeartDB/Mobamas/SweetieNewYear+/SweetieNewYear+Touka.png,
[ﾒﾘｸﾘ☆ﾊｰﾄ]佐藤心,モバマス,https://nagomi-sugarheart.github.io/SugarHeartDB/Mobamas/MerryChristmasHeart/MerryChristmasHeartWakuNashi.jpg,https://nagomi-sugarheart.github.io/SugarHeartDB/Mobamas/MerryChristmasHeart/MerryChristmasHeartTouka.png,
[ﾒﾘｸﾘ☆ﾊｰﾄ]佐藤心+,モバマス,https://nagomi-sugarheart.github.io/SugarHeartDB/Mobamas/MerryChristmasHeart+/MerryChristmasHeart+WakuNashi.jpg,https://nagomi-sugarheart.github.io/SugarHeartDB/Mobamas/MerryChristmasHeart+/MerryChristmasHeart+Touka.png,
[ﾌﾞﾘﾘｱﾝﾄ･はぁと]佐藤心,モバマス,https://nagomi-sugarheart.github.io/SugarHeartDB/Mobamas/BrilliantHeart/BrilliantHeartWakuNashi.jpg,https://nagomi-sugarheart.github.io/SugarHeartDB/Mobamas/BrilliantHeart/BrilliantHeartTouka.png,
[ﾌﾞﾘﾘｱﾝﾄ･はぁと]佐藤心+,モバマス,https://nagomi-sugarheart.github.io/SugarHeartDB/Mobamas/BrilliantHeart+/BrilliantHeart+WakuNashi.jpg,https://nagomi-sugarheart.github.io/SugarHeartDB/Mobamas/BrilliantHeart+/BrilliantHeart+Touka.png,
[ｽﾀｲﾘｯｼｭ･はぁと]佐藤心,モバマス,https://nagomi-sugarheart.github.io/SugarHeartDB/Mobamas/StylishHeart/StylishHeartWakuNashi.jpg,https://nagomi-sugarheart.github.io/SugarHeartDB/Mobamas/StylishHeart/StylishHeartTouka.png,
[ｽﾀｲﾘｯｼｭ･はぁと]佐藤心+,モバマス,https://nagomi-sugarheart.github.io/SugarHeartDB/Mobamas/StylishHeart+/StylishHeart+WakuNashi.jpg,https://nagomi-sugarheart.github.io/SugarHeartDB/Mobamas/StylishHeart+/StylishHeart+Touka.png,
佐藤心,デレステ,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/SatoShin/SatoShin.jpg,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/SatoShin/SatoShinTouka.png,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/SatoShin/SatoShinPuchiDerela.png
佐藤心+,デレステ,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/SatoShin+/SatoShin+.jpg,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/SatoShin+/SatoShin+Touka.png,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/SatoShin+/SatoShin+PuchiDerela.png
[ハート・モデル]佐藤心,デレステ,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/HeartModel/HeartModel.jpg,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/HeartModel/HeartModelTouka.png,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/HeartModel/HeartModelPuchiDerela.png
[ハート・モデル]佐藤心+,デレステ,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/HeartModel+/HeartModel+.jpg,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/HeartModel+/HeartModel+Touka.png,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/HeartModel+/HeartModel+PuchiDerela.png
[はぁと・トゥ・ハート]佐藤心,デレステ,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/HeartToHeart/HeartToHeartCard.jpg,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/HeartToHeart/HeartToHeartTouka.png,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/HeartToHeart/HeartToHeartPuchiDerela.png
[はぁと・トゥ・ハート]佐藤心+,デレステ,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/HeartToHeart+/HeartToHeart+.jpg,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/HeartToHeart+/HeartToHeart+Touka.png,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/HeartToHeart+/HeartToHeart+PuchiDerela.png
[はぁとの嫁入り]佐藤心,デレステ,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/HeartNoYomeiri/HeartNoYomeiri.jpg,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/HeartNoYomeiri/HeartNoYomeiriTouka.png,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/HeartNoYomeiri/HeartNoYomeiriPuchiDerela.png
[はぁとの嫁入り]佐藤心+,デレステ,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/HeartNoYomeiri+/HeartNoYomeiri+.jpg,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/HeartNoYomeiri+/HeartNoYomeiri+Touka.png,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/HeartNoYomeiri+/HeartNoYomeiri+PuchiDerela.png
[ブリリアント・はぁと]佐藤心,デレステ,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/BrilliantHeart/BrilliantHeart.jpg,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/BrilliantHeart/BrilliantHeartTouka.png,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/BrilliantHeart/BrilliantHeartPuchiDerela.png
[ブリリアント・はぁと]佐藤心+,デレステ,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/BrilliantHeart+/BrilliantHeart+.jpg,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/BrilliantHeart+/BrilliantHeart+Touka.png,https://nagomi-sugarheart.github.io/SugarHeartDB/Deresute/BrilliantHeart+/BrilliantHeart+PuchiDerela.png
